# CVS $Revision: 1.2 $ $Author: tir-gwaith $ -- Wed Aug  6 19:18:34 2003 -- reformated by prettylst.pl v1.29 (build 294)
SOURCELONG:Relics and Rituals|SOURCESHORT:RelicRitual|SOURCEWEB:http://www.swordsorcery.com

# Equipment Name					Product Identity?	Output Name				Type				Cost		Weight	Source Page
Scroll (Acid Spittle)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Arrow Charm)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Buoyancy Net)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Chameleon Skin)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Clean)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Detect Gold)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Disappear)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Flame Bolt)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Flash)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Glue)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Obscure Shadow)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Quick Sober)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Rabbit Feet)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Reshape Shadow)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Salamar's Quiet Contemplation)	NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shade's Sight)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Steal Sleep)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Trigger Rune)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Adhere to Wood)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Buoyancy Net)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Chameleon Skin)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Clean)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Detect Gold)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Distort Shadow)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Dowsing)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Ephod of Melee)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Gaze of Truth)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
